SubhaloID,StellarMass,GasMass,SFR,GasMetallicity,StarMetallicity
235693,49328333000.0,6818343000.0,0.060041994,0.010304542,0.023687597
236758,53023700000.0,8341893600.0,0.0016674531,0.010452532,0.02160205
236759,35966456000.0,40288092000.0,3.0824282,0.026207022,0.02248696
236765,30048008000.0,1497246500.0,0.028814059,0.012289374,0.02629379
237943,77339060000.0,31182310000.0,0.0014291424,0.010653534,0.023858678
237945,56989233000.0,3929363200.0,0.00036395682,0.0113656735,0.02719191
239996,29247880000.0,46098380000.0,0.51933134,0.011964408,0.022232214
241154,86692670000.0,30927864000.0,1.6517051,0.016039314,0.023564154
241155,88986075000.0,7916123000.0,0.13075665,0.016598245,0.027589373
242217,62370947000.0,38643120000.0,3.3984227,0.030446991,0.024283044
243187,49496610000.0,47432843000.0,0.004671361,0.0076964777,0.025024438
243189,63088210000.0,66430935000.0,6.2365556,0.019446654,0.026935652
243190,57868517000.0,39273435000.0,1.116263,0.018790444,0.026845548
243192,34174136000.0,29569374000.0,7.4532027,0.019638347,0.019855345
243193,30440049000.0,13618273000.0,6.519876,0.018934472,0.023220908
245135,65753800000.0,55320000000.0,0.60581565,0.016025595,0.026470711
245138,28980883000.0,17741578000.0,0.6454148,0.023887547,0.022071384
246234,46001836000.0,129447210000.0,9.600674,0.007824291,0.02223149
248160,38786890000.0,37797753000.0,3.2588556,0.018326681,0.018934248
249167,48661905000.0,44473496000.0,0.06942756,0.005951934,0.022487525
249169,68984300000.0,11411420000.0,1.8878735,0.02061465,0.026703732
250391,34053388000.0,59447628000.0,5.7051425,0.021471612,0.02150367
250392,36975403000.0,22449412000.0,0.57772565,0.013471494,0.020884192
250393,25161890000.0,25977647000.0,0.18959463,0.012782359,0.023819346
250398,29435767000.0,397330460.0,0.081643716,0.052298807,0.034822356
251300,33987930000.0,24963383000.0,1.2213973,0.022978341,0.022729969
251302,63022154000.0,12238843000.0,36.28362,0.023959188,0.028573202
254113,79409830000.0,97744265000.0,2.3526697,0.0155328335,0.02298407
